ORDER_LINE_ID,ORDER_ID,MENU_ITEM_ID,LINE_NUMBER,QUANTITY,UNIT_PRICE_USD,_LOADED_AT
10011,1001,1,1,2,7.50,2026-03-01 05:00:00
10012,1001,10,2,1,6.50,2026-03-01 05:00:00
10021,1002,4,1,1,11.00,2026-03-01 05:00:00
10022,1002,6,2,2,6.50,2026-03-01 05:00:00
10031,1003,7,1,2,9.00,2026-03-01 05:00:00
10032,1003,9,2,1,9.50,2026-03-01 05:00:00
10041,1004,2,1,1,9.50,2026-03-01 05:00:00
10051,1005,10,1,2,6.50,2026-03-01 05:00:00
10052,1005,12,2,1,5.00,2026-03-01 05:00:00
10061,1006,5,1,1,16.50,2026-03-01 05:00:00
10071,1007,8,1,1,10.50,2026-03-01 05:00:00
10072,1007,7,2,1,9.00,2026-03-01 05:00:00
10081,1008,1,1,1,7.50,2026-03-01 05:00:00
10091,1009,9,1,1,9.50,2026-03-01 05:00:00
10092,1009,7,2,1,9.00,2026-03-01 05:00:00
10101,1010,4,1,2,11.00,2026-03-01 05:00:00
10102,1010,6,2,1,6.50,2026-03-01 05:00:00
10111,1011,3,1,1,8.50,2026-03-01 05:00:00
10112,1011,10,2,1,6.50,2026-03-01 05:00:00
10121,1012,7,1,3,9.00,2026-03-01 05:00:00
10131,1013,5,1,1,16.50,2026-03-01 05:00:00
10132,1013,6,2,1,6.50,2026-03-01 05:00:00
10141,1014,11,1,1,8.00,2026-03-01 05:00:00
10142,1014,12,2,2,5.00,2026-03-01 05:00:00
10151,1015,2,1,2,9.50,2026-03-01 05:00:00
10161,1016,8,1,2,10.50,2026-03-01 05:00:00
10171,1017,4,1,1,11.00,2026-03-01 05:00:00
10172,1017,6,2,1,6.50,2026-03-01 05:00:00
10181,1018,9,1,1,9.50,2026-03-01 05:00:00
10191,1019,1,1,3,7.50,2026-03-01 05:00:00
10201,1020,10,1,1,6.50,2026-03-01 05:00:00
10202,1020,12,2,1,5.00,2026-03-01 05:00:00
